row,column,lab,l,a,b,season,Season
3,6,"(52.47, -16.28, -24.11)",52.47,-16.28,-24.11,ts,True Summer
3,7,"(68.63, -31.44, -12.39)",68.63,-31.44,-12.39,ts,True Summer
3,8,"(54.32, -25.61, -13.81)",54.32,-25.61,-13.81,ts,True Summer
3,9,"(35.59, -15.8, -13.42)",35.59,-15.8,-13.42,ts,True Summer
4,0,"(71.15, -4.16, -4.31)",71.15,-4.16,-4.31,ts,True Summer
4,1,"(57.0, -2.62, -10.55)",57.0,-2.62,-10.55,ts,True Summer
4,2,"(66.99, -4.44, -5.61)",66.99,-4.44,-5.61,ts,True Summer
4,3,"(48.28, -1.3, -4.17)",48.28,-1.3,-4.17,ts,True Summer
4,4,"(29.21, -1.33, -4.53)",29.21,-1.33,-4.53,ts,True Summer
4,5,"(75.18, -8.53, -23.41)",75.18,-8.53,-23.41,ts,True Summer
4,6,"(66.47, -14.0, -23.27)",66.47,-14.0,-23.27,ts,True Summer
4,7,"(56.52, -8.05, -27.45)",56.52,-8.05,-27.45,ts,True Summer
4,8,"(44.69, -2.16, -32.69)",44.69,-2.16,-32.69,ts,True Summer
4,9,"(28.48, 1.02, -25.67)",28.48,1.02,-25.67,ts,True Summer
5,0,"(73.29, -9.95, -4.48)",73.29,-9.95,-4.48,ts,True Summer
5,1,"(56.17, -9.73, -3.84)",56.17,-9.73,-3.84,ts,True Summer
5,2,"(52.69, -14.84, -12.7)",52.69,-14.84,-12.7,ts,True Summer
5,3,"(42.75, -16.73, -12.84)",42.75,-16.73,-12.84,ts,True Summer
5,4,"(31.68, -12.05, -11.83)",31.68,-12.05,-11.83,ts,True Summer
5,5,"(69.1, 6.23, -22.8)",69.1,6.23,-22.8,ts,True Summer
5,6,"(54.7, 10.66, -27.2)",54.7,10.66,-27.2,ts,True Summer
5,7,"(33.05, 13.14, -26.45)",33.05,13.14,-26.45,ts,True Summer
5,9,"(73.95, 0.03, -1.12)",73.95,0.03,-1.12,ts,True Summer
